Year,Month,MKT,ME,I/A,ROE
2003,6,1.54,2.22,-1.06,1.10
2003,7,2.24,4.38,2.34,-1.75
2003,8,2.43,2.24,2.37,-1.24
2003,9,-1.00,0.69,0.23,1.26
2003,10,5.96,3.05,1.03,-1.75
2003,11,1.59,2.19,2.30,0.78
2003,12,4.47,-2.78,0.77,-1.74
2004,1,2.24,3.12,2.06,-2.43
2004,2,1.48,-0.31,-0.88,2.13
2004,3,-1.15,2.52,-0.74,1.76
2004,4,-2.50,-3.22,-2.90,0.02
2004,5,1.35,-0.38,0.55,1.07
2004,6,2.08,2.24,-0.26,0.56
2004,7,-3.86,-3.35,-0.97,2.40
2004,8,0.16,-1.52,-1.20,-1.23
2004,9,1.94,3.80,-2.21,-0.21
2004,10,1.67,-0.79,0.61,-1.42
2004,11,4.67,4.49,-0.43,-1.14
2004,12,3.35,-0.04,0.32,-0.85
2005,1,-2.82,-0.39,-0.40,3.26
2005,2,2.10,0.14,0.28,3.57
2005,3,-1.91,-1.75,0.90,0.53
2005,4,-2.73,-4.49,-1.47,-1.10
2005,5,3.56,2.96,-0.04,0.98
2005,6,0.93,3.81,-0.20,-0.43
2005,7,4.09,2.72,-2.06,-0.19
2005,8,-0.89,-0.78,0.23,-0.68
2005,9,0.78,0.00,-0.02,0.86
2005,10,-2.36,-0.51,-0.32,1.10
2005,11,3.73,1.23,-1.06,0.77
2005,12,0.03,-0.02,0.87,0.21
2006,1,3.65,6.44,-0.68,-0.26
2006,2,-0.50,-0.39,2.44,-1.01
2006,3,1.54,3.12,-1.35,0.77
2006,4,0.94,-0.30,0.34,0.82
2006,5,-3.52,-3.51,1.31,-0.10
2006,6,-0.44,-0.32,-0.41,1.04
2006,7,-0.59,-3.17,1.35,0.53
2006,8,2.08,0.43,1.94,-1.34
2006,9,1.54,-0.97,0.98,0.62
2006,10,3.30,1.96,0.19,-0.29
2006,11,1.95,0.39,-1.59,0.49
2006,12,0.68,0.00,1.83,-0.57
2007,1,1.51,-0.10,0.62,0.02
2007,2,-1.78,1.44,-0.96,-0.74
2007,3,0.87,-0.18,-1.19,0.44
2007,4,3.55,-1.73,0.86,0.55
2007,5,3.49,-0.25,-2.31,0.52
2007,6,-1.87,0.54,0.94,1.19
2007,7,-3.57,-3.07,-2.22,1.71
2007,8,0.74,-0.79,-1.34,0.90
2007,9,3.75,-2.35,-3.30,1.56
2007,10,2.26,0.23,0.69,1.44
2007,11,-5.26,-3.04,0.21,3.62
2007,12,-0.74,0.68,-0.64,2.28
2008,1,-6.46,-0.73,1.40,-0.32
2008,2,-2.30,-0.88,-1.50,1.79
2008,3,-1.23,0.58,-0.35,2.38
2008,4,5.01,-0.94,-2.30,-0.81
2008,5,2.29,2.54,-0.37,-0.34
2008,6,-8.02,1.88,-0.19,6.35
2008,7,-1.48,6.01,1.87,0.10
2008,8,0.93,1.81,0.96,-0.85
2008,9,-9.95,0.64,3.24,1.70
2008,10,-18.54,-3.50,1.12,5.95
2008,11,-8.48,-5.20,0.53,3.52
2008,12,2.21,3.61,-2.39,-0.58
2009,1,-7.73,-2.96,-0.92,-0.72
2009,2,-10.04,-1.57,-1.80,2.96
2009,3,8.65,0.98,-0.52,-3.33
2009,4,10.92,7.32,3.47,-13.85
2009,5,6.78,-1.31,-2.39,-3.32
2009,6,-0.32,3.77,0.45,0.90
2009,7,8.16,1.69,2.01,-4.89
2009,8,3.13,0.88,2.27,-2.61
2009,9,4.51,2.48,-1.14,-2.82
2009,10,-2.80,-4.62,-0.23,3.96
2009,11,5.71,-2.37,-0.34,1.01
2009,12,2.84,4.82,-0.13,-1.85
2010,1,-3.71,0.37,0.66,-1.07
2010,2,3.48,1.52,0.69,-1.06
2010,3,6.35,2.04,1.62,-0.52
2010,4,1.99,3.91,3.07,-2.49
2010,5,-7.92,0.04,-0.48,2.73
2010,6,-5.08,-2.38,-2.48,1.34
2010,7,7.02,0.48,1.22,-0.85
2010,8,-4.29,-3.64,-1.78,-0.56
2010,9,9.14,3.95,1.15,0.52
2010,10,3.84,0.69,-0.01,0.65
2010,11,0.50,3.65,1.86,-0.08
2010,12,6.70,0.45,3.02,-3.67
2011,1,1.91,-2.01,1.31,0.55
2011,2,3.80,1.39,1.43,-1.66
2011,3,0.33,1.85,-0.13,-0.95
2011,4,2.86,-0.88,-0.97,1.59
2011,5,-1.49,-0.87,-1.02,0.13
2011,6,-1.84,0.46,-1.15,2.81
2011,7,-2.24,-1.77,-2.04,0.73
2011,8,-5.76,-3.72,-1.32,2.56
2011,9,-8.49,-4.78,0.08,-0.77
2011,10,11.40,5.18,-0.59,2.14
2011,11,-0.62,-1.13,1.52,0.58
2011,12,0.37,0.12,2.67,1.15
2012,1,5.41,2.78,-0.57,-0.63
2012,2,4.12,-0.67,0.08,0.29
2012,3,2.39,0.71,1.43,1.66
2012,4,-0.68,-1.15,0.96,1.00
2012,5,-6.56,-0.89,2.68,1.62
2012,6,3.81,1.49,1.02,-1.76
2012,7,1.02,-3.08,0.51,1.54
2012,8,2.62,1.42,-1.46,-0.50
2012,9,2.65,1.18,1.19,0.18
2012,10,-1.41,0.22,1.85,0.46
2012,11,0.61,0.36,0.82,1.66
2012,12,1.24,2.42,-0.83,-2.00
2013,1,5.41,0.20,1.53,-2.11
2013,2,0.83,-0.61,0.75,0.10
2013,3,3.52,1.07,1.29,0.51
2013,4,1.49,-2.88,0.13,-1.03
2013,5,1.91,3.53,-1.66,-0.40
2013,6,-1.51,0.77,0.70,-0.13
2013,7,5.27,2.09,0.65,-0.48
2013,8,-2.57,-0.22,-1.80,0.59
2013,9,3.75,2.44,-0.72,-0.99
2013,10,3.98,-1.63,1.21,1.32
2013,11,2.49,1.95,-0.03,1.59
2013,12,2.61,-0.44,0.73,-0.18
2014,1,-3.00,0.32,-0.29,-2.28
